Customer_ID,Age,Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Amount_invested_monthly,Monthly_Balance,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_Credit_Inquiries,Credit_Utilization_Ratio,Total_EMI_per_month,Credit_History_Age_Months,Occupation,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,_target_agreement,has_auto_loan,has_credit_builder_loan,has_debt_consolidation_loan,has_home_equity_loan,has_mortgage_loan,has_not_specified,has_payday_loan,has_personal_loan,has_student_loan,n_loan_types,Credit_Utilization_Ratio_std,Delay_from_due_date_max,Num_Credit_Inquiries_max,debt_to_income,debt_service_ratio,Credit_Score
CUS_0x62e9,33.0,179948.84,3.0,0.0,2.35,1104.31,674.3317229146313,861.0601451297883,14836.736666666666,0.0,5.0,4.0,30.0,2.0,32.90333516777964,446.2593465712956,377.5,Teacher,Good,No,Low_spent_Medium_value_payments,0.875,0,0,0,1,1,0,0,0,1,3,6.450929924413087,30.0,4.0,0.006136799770423638,0.030077998726896298,Poor
CUS_0x4f85,29.0,17282.84,7.0,16.0,12.77,1982.41,82.70287700055133,239.937509330088,1326.236666666667,6.0,4.0,23.0,8.0,7.0,34.55828083674315,86.00863648980484,86.5,Writer,Standard,Yes,Low_spent_Small_value_payments,0.875,0,1,1,0,0,0,1,1,1,5,5.41530234610112,13.0,7.0,0.11470394911947342,0.06485165027594735,Poor
CUS_0x7e90,16.0,18128.18,3.0,10.0,8.44,1343.75,109.94892562577098,300.9427809747052,1810.6816666666664,8.0,6.0,26.0,19.0,13.0,30.33689812313873,45.1764600661905,157.5,Mechanic,Standard,Yes,Low_spent_Small_value_payments,0.875,1,0,0,0,0,1,0,0,0,2,6.045061332399207,19.0,13.0,0.07412492594402748,0.024949973757318198,Poor
CUS_0x4d33,42.0,80264.88,4.0,24.0,8.31,1522.85,267.74198009323175,413.1702389094755,6635.740000000002,6.0,5.0,31.0,37.0,13.0,30.429499139286527,261.5315027371735,79.5,Scientist,Bad,Yes,High_spent_Medium_value_payments,0.625,1,0,1,0,0,1,0,1,0,4,4.032654131238311,42.0,13.0,0.018972806039204194,0.03941256027770429,Standard
CUS_0xb811,24.0,89367.27,2.0,7.0,5.99,716.97,188.8027788612372,630.1856764423949,7276.2725,2.0,3.0,8.0,5.0,1.0,33.805083864105384,148.63879469636794,245.5,Scientist,Good,No,High_spent_Large_value_payments,0.75,0,0,0,0,0,0,0,1,1,2,4.925022230598393,7.0,1.0,0.008022735840537592,0.020427876319416012,Good
CUS_0xa366,54.0,68042.58,0.0,12.0,10.96,1163.4,328.23290305770945,519.5885969422905,5728.215,4.0,7.0,7.0,7.0,3.0,36.83575577854637,0.0,253.5,Doctor,Standard,No,Low_spent_Small_value_payments,0.625,0,0,0,0,0,0,0,0,0,0,4.086538608721195,12.0,4.0,0.017098117090798146,0.0,Poor
CUS_0x2991,45.0,10427.44,7.0,15.0,11.62,1367.85,37.261712916282505,251.5642745174819,629.9533333333334,9.0,5.0,21.0,50.0,12.0,30.58919891590274,56.8537431427776,116.5,Journalist,Standard,Yes,Low_spent_Small_value_payments,0.875,0,0,0,1,1,1,1,1,1,6,4.861528220477699,55.0,12.0,0.13117793053712126,0.0902507219732323,Poor
CUS_0xc6d8,34.0,120955.92,1.0,7.0,5.96,369.36,268.42593210668326,945.234923806642,10021.66,2.0,7.0,4.0,28.0,3.0,35.54627178904606,57.50516924840772,253.0,Developer,Good,No,High_spent_Large_value_payments,0.5,0,0,0,0,0,1,0,0,0,1,4.590014484504443,28.0,8.0,0.0030536744294946457,0.0057380882257438105,Poor
CUS_0x23d8,34.0,16245.125,0.0,2.0,2.79,744.47,78.16502746529177,317.11398899860694,1080.7604166666667,3.0,5.0,6.0,11.0,3.0,32.869872925810554,0.0,340.5,Entrepreneur,Good,No,Low_spent_Medium_value_payments,0.875,0,0,0,0,0,0,0,0,0,0,5.998315970761904,16.0,7.0,0.045827286647532724,0.0,Good
CUS_0x3c39,15.0,7829.225,9.0,15.0,16.22,4579.09,28.606309180506265,259.357139391916,560.4354166666667,9.0,6.0,34.0,38.0,7.0,25.25894248555977,37.73561457023335,5.0,Developer,Bad,Yes,Low_spent_Small_value_payments,1.0,1,1,0,1,1,0,0,1,0,5,4.792308069211959,38.0,7.0,0.5848714272485463,0.06733267286117568,Standard
CUS_0xb825,29.0,83457.76,7.0,14.0,16.92,1266.18,400.31560021428356,395.30297929460545,6936.813333333333,5.0,6.0,6.0,14.0,7.0,33.93155562907553,386.7777430383226,78.0,Developer,Standard,Yes,High_spent_Large_value_payments,1.0,0,0,0,1,1,1,1,0,0,4,5.787324321802592,16.0,7.0,0.015171507119290047,0.05575726554147668,Standard
CUS_0x15b4,23.0,106168.77,3.0,10.0,4.62,525.82,412.653479977351,535.9374641566582,8700.3975,0.0,4.0,9.0,2.0,4.0,34.312147409745876,191.44880586599075,294.0,Musician,Good,No,High_spent_Large_value_payments,1.0,0,1,0,0,1,0,0,1,0,3,3.0938486860590326,3.0,4.0,0.004952680529311962,0.0220046044868629,Standard
CUS_0x44e9,34.0,19656.96,9.0,19.0,1.88,2525.19,58.22414080637982,246.96366619499452,1339.08,8.0,6.0,32.0,60.0,9.0,30.278171107214387,108.02902901921296,40.0,Architect,Bad,Yes,Low_spent_Medium_value_payments,0.875,0,1,0,1,1,0,1,1,1,6,4.1201460861450325,62.0,13.0,0.12846289558507523,0.08067406653763252,Poor
CUS_0x302d,19.0,14258.85,7.0,26.0,1.01,4295.5,83.66154140629106,255.0682633250471,1135.2375,6.0,9.0,28.0,30.0,9.0,34.54092571923776,54.79394526866179,26.5,Developer,Bad,Yes,Low_spent_Small_value_payments,0.875,0,0,0,1,1,1,1,1,1,6,6.12827908899651,30.0,10.0,0.30125150345224194,0.04826650394182873,Poor
CUS_0xb837,22.0,14070.22,6.0,15.0,18.61,2075.81,50.32590984643591,282.0325030378005,1148.5183333333332,9.0,9.0,24.0,39.0,8.0,26.83053467308217,40.16573685652548,162.5,Journalist,Bad,Yes,High_spent_Medium_value_payments,0.875,1,1,0,1,1,0,1,0,0,5,2.1083543989530296,40.0,9.0,0.14753216367618985,0.03497178555256742,Poor
CUS_0x277e,41.0,86097.54000000001,2.0,5.0,3.67,10.29,165.7173571200093,677.5633330403521,7202.795000000001,1.0,2.0,11.0,13.0,0.0,35.21095586485231,128.40407522529622,230.5,Engineer,Good,No,High_spent_Medium_value_payments,0.875,0,0,0,1,0,0,0,0,1,2,5.979429100461922,15.0,0.0,0.0001195156098536613,0.017826979002636644,Good
CUS_0x8e38,40.0,74499.6,4.0,17.0,8.04,235.27,213.6765693216708,458.72292215602414,5910.3,6.0,5.0,7.0,10.0,8.0,30.071256772544952,171.1457122502194,236.0,Entrepreneur,Standard,Yes,High_spent_Medium_value_payments,1.0,0,0,1,1,0,0,1,0,1,4,3.8452843398586425,15.0,11.0,0.0031580035329048747,0.02895719544696875,Standard
CUS_0xced,40.0,36311.46,4.0,9.0,17.75,1788.43,142.42832591590115,355.7730815903238,2747.955,8.0,5.0,12.0,22.0,8.0,28.916576600899777,68.1282101098302,244.5,Architect,Standard,Yes,Low_spent_Small_value_payments,0.75,1,0,1,0,0,1,1,0,0,4,3.3269483371003394,22.0,8.0,0.04925249494236806,0.024792331064311536,Standard
CUS_0x76f6,36.0,88325.58,3.0,2.0,0.66,547.05,151.25367757201292,584.8470489614128,7486.465,0.0,4.0,7.0,14.0,3.0,35.04777814639267,207.56397906205663,329.5,Mechanic,Good,No,High_spent_Large_value_payments,0.875,0,0,0,0,0,1,1,0,1,3,3.8748801770902026,17.0,7.0,0.006193562499108411,0.027725232010308822,Good
CUS_0xba6,45.0,110557.08,2.0,14.0,5.51,946.28,184.28678059752707,823.8832256580185,9210.09,3.0,5.0,5.0,30.0,5.0,33.63183477052411,181.85577543008316,212.5,Engineer,Standard,Yes,High_spent_Large_value_payments,1.0,0,1,0,0,0,1,0,0,0,2,7.3109652931276425,30.0,5.0,0.008559198560598742,0.01974527669437358,Standard
CUS_0x9bf5,27.0,97003.11,4.0,10.0,8.11,802.47,365.2484717016031,644.1143524170135,8101.5925,8.0,7.0,5.0,28.0,6.0,30.57408424333308,164.35585119648348,220.0,Manager,Standard,Yes,High_spent_Large_value_payments,1.0,0,0,0,0,1,1,1,0,0,3,5.918162423504681,28.0,6.0,0.008272621362346012,0.02028685733039319,Standard
CUS_0x1833,49.0,11527.73,1.0,12.0,1.39,532.86,47.06566848966034,309.16863865865116,839.6441666666666,3.0,7.0,14.0,12.0,3.0,34.41242925374989,5.913472082013276,283.0,Architect,Standard,No,Low_spent_Small_value_payments,1.0,1,0,0,0,0,0,0,0,0,1,6.827198430676703,14.0,3.0,0.04622419157978197,0.007042831138206296,Standard
CUS_0x6a8f,46.0,162687.32,2.0,6.0,4.52,1194.38,219.0969098662083,1101.5397158851267,13421.276666666668,1.0,5.0,10.0,15.0,4.0,34.11171026790278,258.47958615305924,311.5,Lawyer,Good,No,High_spent_Large_value_payments,0.625,0,0,0,0,1,0,0,1,0,2,4.966315088831131,18.0,4.0,0.007341567861588722,0.01925894179612763,Good
CUS_0x9536,40.0,112362.76,4.0,20.0,5.86,1358.65,197.88695916212987,733.7917163763348,9279.563333333334,4.0,4.0,5.0,25.0,2.0,33.22582108639178,236.27765779486907,281.5,Manager,Standard,No,High_spent_Large_value_payments,0.75,0,0,0,0,1,0,1,1,0,3,5.4625097126822375,30.0,2.0,0.012091639614406055,0.02546215261510535,Standard
CUS_0xc6d6,46.0,21229.73,2.0,1.0,10.78,659.72,51.19394673046908,362.66856646919246,1709.144166666667,5.0,4.0,10.0,10.0,3.0,26.959161972726378,28.88093048125891,311.0,Scientist,Good,No,Low_spent_Small_value_payments,0.625,1,0,1,0,0,0,0,0,0,2,1.7951375611110736,14.0,3.0,0.031075289228831456,0.016897890209920212,Poor
CUS_0x4842,33.0,43287.85,1.0,2.0,1.13,1370.94,110.14835755771887,486.0790985915917,3769.320833333333,4.0,4.0,5.0,3.0,3.5,30.351717070793363,33.861272745783836,240.5,Scientist,Good,No,High_spent_Large_value_payments,0.875,0,0,0,0,0,0,0,1,0,1,6.27881204213225,3.0,5.0,0.03167031857669069,0.008983388319279579,Good
CUS_0x4fc9,52.0,14274.54,0.0,11.0,8.13,1251.36,105.80236745248385,278.45213254751616,992.545,7.0,6.0,10.0,18.0,5.0,33.398416240856136,0.0,340.0,Journalist,Good,No,Low_spent_Small_value_payments,0.875,0,0,0,0,0,0,0,0,0,0,4.31198050843409,23.0,5.0,0.08766377060136438,0.0,Poor
CUS_0x2d14,35.0,18995.89,0.0,2.0,8.42,953.75,97.50682680313987,342.1190455788773,1597.990833333333,2.0,3.0,6.0,11.0,4.0,34.435730145955006,0.0,299.0,Writer,Good,No,Low_spent_Medium_value_payments,0.625,0,0,0,0,0,0,0,0,0,0,5.249708910220192,16.0,5.0,0.050208229253801744,0.0,Standard
CUS_0x41cc,39.0,25399.68,3.0,12.5,14.99,1495.03,68.47050491624466,328.6199074780608,2124.64,4.0,4.0,9.0,28.0,11.0,32.9244287963962,61.00343610803779,190.5,Accountant,Standard,Yes,High_spent_Medium_value_payments,0.625,0,0,0,1,1,0,0,1,0,3,6.1484022042749515,31.0,11.0,0.058860190364603014,0.028712363557138052,Standard
CUS_0xad1d,31.0,20022.29,7.0,19.0,17.4,4697.06,123.98928902159628,225.9191235410412,1607.5241666666668,7.0,6.0,21.0,29.0,7.0,31.54731785170477,100.84400410402928,49.5,Developer,Bad,Yes,Low_spent_Small_value_payments,1.0,0,1,1,1,1,0,1,1,0,6,5.766893794850394,30.0,7.0,0.234591547720066,0.06273249646575305,Standard
CUS_0x7189,19.0,62096.31,4.0,15.0,9.58,2364.63,237.4411956284997,410.5531410982938,5151.6925,3.0,7.0,17.0,29.0,4.0,33.721739640733986,132.17491327320653,124.5,Media_Manager,Standard,Yes,High_spent_Large_value_payments,1.0,1,0,1,0,0,1,0,0,0,3,6.09405072584231,34.0,4.0,0.03808004050482227,0.02565659989861711,Standard
CUS_0xaf67,55.0,91432.44,3.0,10.0,5.06,1279.64,161.15898328486924,684.6711759357095,7840.37,4.0,2.0,9.0,13.0,4.0,31.656967223155668,183.2068407794212,364.0,Developer,Good,No,High_spent_Large_value_payments,1.0,0,0,1,0,0,1,0,0,0,2,4.035917701988334,18.0,4.0,0.013995470316662227,0.023367116702326704,Good
CUS_0x36b6,21.0,17918.66,2.0,10.0,11.32,1761.39,118.49499849894221,294.9594794254814,1519.2216666666666,6.0,5.0,20.0,14.0,5.0,31.82033175085505,21.220022664744175,104.0,Scientist,Standard,Yes,Low_spent_Small_value_payments,0.625,0,0,0,0,1,0,1,0,0,2,4.62671506287867,17.0,10.0,0.09829920317702329,0.013967693543565076,Poor
CUS_0xb1bc,35.0,19194.75,2.0,19.0,2.05,2456.95,67.72226293926344,350.9277063428817,1870.5625,6.0,8.0,23.0,17.0,6.0,32.05625985035342,28.38685362260293,88.0,Mechanic,Bad,Yes,High_spent_Medium_value_payments,0.75,0,1,0,0,0,0,0,1,0,2,6.098379573627871,17.0,6.0,0.12800114614673283,0.015175570782907778,Poor
CUS_0x4b09,15.0,80657.84,3.0,18.0,8.33,1017.73,147.66422933626066,578.2877247351871,6534.486666666668,7.0,7.0,13.0,25.0,8.0,34.57982799735467,167.4967125952189,253.5,Scientist,Standard,Yes,High_spent_Large_value_payments,1.0,0,1,0,0,1,0,0,1,0,3,5.4278941498859945,25.0,10.0,0.012617868269222187,0.025632726966854657,Standard
CUS_0x7312,18.0,32989.45,4.0,0.0,1.47,40.48,126.96464750602983,350.54811190958435,2637.120833333333,5.0,3.0,2.0,7.0,0.0,31.925793238214386,80.95539403030394,194.0,Musician,Good,No,Low_spent_Small_value_payments,0.625,0,0,1,0,1,0,1,0,0,3,5.049008561687388,11.0,0.0,0.0012270589536958027,0.03069840145624876,Good
CUS_0x5392,52.5,100884.81,3.0,9.0,11.94,783.27,465.3911506304884,509.3304472555149,8631.0675,3.0,7.0,18.0,10.0,1.0,33.84025746989021,248.13183736189131,360.5,Scientist,Standard,Yes,Low_spent_Small_value_payments,0.875,1,0,0,1,0,0,0,0,0,2,3.484778874328494,12.0,6.0,0.0077640033222047995,0.02874868460499137,Standard
CUS_0x689b,22.0,20336.52,5.0,16.0,13.05,1398.96,65.09191813996961,293.76442015408134,1587.71,4.0,5.0,19.0,25.0,5.0,30.708273555568766,59.66069570490642,181.5,Mechanic,Standard,Yes,Low_spent_Small_value_payments,0.625,1,0,0,0,0,0,0,1,1,3,3.966325657163966,30.0,5.0,0.06879053053324757,0.03757656984267053,Poor
CUS_0x85be,25.0,19669.56,5.0,22.0,17.01,4312.41,74.9179801418594,283.45526474378323,1880.13,8.0,8.0,30.0,24.0,6.0,34.282463725709064,69.02096028476379,82.5,Writer,Bad,Yes,High_spent_Large_value_payments,1.0,0,1,0,1,1,0,1,0,1,5,4.607963750026401,27.0,6.0,0.21924283003788592,0.03671073823871955,Standard
CUS_0x24bb,27.0,25795.97,2.0,15.0,11.66,642.22,45.097462657579655,352.2413348781754,1932.664166666667,3.0,5.0,10.0,13.0,1.0,32.582589768161014,35.92761913091166,292.0,Developer,Standard,Yes,High_spent_Large_value_payments,1.0,0,0,0,0,1,0,0,0,0,1,2.610665672596536,13.0,1.0,0.024896136877194382,0.018589685549392304,Standard
CUS_0x9e8d,35.0,20299.4,6.0,19.0,28.12,3917.82,146.07154152206928,244.68987885368927,1757.6166666666668,9.0,6.0,22.0,48.0,10.0,32.425970856031114,75.77365520391602,23.5,Entrepreneur,Bad,Yes,Low_spent_Small_value_payments,1.0,0,1,0,1,1,1,0,1,0,5,5.26887922940595,51.0,10.0,0.1930017635989241,0.0431115934668629,Standard
CUS_0x6010,46.0,146101.28,5.0,9.0,19.13,1311.47,638.3076313954151,641.206577135757,12012.106666666668,3.0,4.0,9.0,18.0,7.0,34.834322609871435,307.14479792800967,209.5,Mechanic,Standard,Yes,Low_spent_Medium_value_payments,0.625,1,0,0,1,1,0,0,0,1,4,5.956984880924783,20.0,7.0,0.008976444285772172,0.02556960293903564,Standard
CUS_0x28f1,28.0,54262.34,7.0,13.0,11.16,456.99,165.6911421994447,319.47080752519844,4625.861666666667,6.0,4.0,17.0,30.0,7.0,29.73842556097821,264.7561035209468,68.0,Accountant,Standard,Yes,High_spent_Medium_value_payments,1.0,0,1,0,1,1,0,0,1,1,5,5.994942497865043,34.0,7.0,0.008421863119061951,0.057233899886964514,Standard
CUS_0xbd59,49.5,105226.98,4.0,9.0,6.67,1010.06,191.0776332772924,712.2467491802736,8744.915,2.0,3.0,8.0,14.0,8.0,34.9696782335311,210.25067319639788,318.5,Teacher,Good,No,High_spent_Large_value_payments,1.0,1,0,0,1,0,0,1,0,1,4,4.735517433518456,19.0,8.0,0.00959886903529874,0.024042620562509512,Standard
CUS_0x9d2e,23.0,15160.61,4.0,3.0,5.89,1168.42,89.5892968270852,285.6602668934294,1335.3841666666667,3.0,3.0,7.0,14.0,4.0,33.08056030196295,37.4243197946215,382.5,Scientist,Good,No,Low_spent_Small_value_payments,0.875,1,1,0,0,0,0,0,1,0,3,5.315438737290245,17.0,8.0,0.07706945828696866,0.02802513368721348,Poor
CUS_0x624b,15.0,54174.51,7.0,23.0,6.02,2236.88,111.1251046086381,340.8887613856194,4236.5425,6.0,6.0,18.0,55.0,12.0,31.000960133492818,226.6403840057425,74.5,Accountant,Bad,Yes,High_spent_Medium_value_payments,0.75,0,1,0,0,1,1,0,1,0,4,5.493628948723164,57.0,12.0,0.041290267323137765,0.053496544412275464,Poor
CUS_0x60f9,39.0,43981.4,5.0,20.0,13.77,534.16,123.75160811254082,369.98831210536633,3431.116666666667,3.0,6.0,7.0,15.0,7.0,35.358184630744375,113.8791951345197,68.5,Entrepreneur,Standard,Yes,High_spent_Medium_value_payments,0.5,1,0,0,1,0,1,1,0,1,5,5.000660495399528,16.0,10.0,0.012145134079406294,0.03319012618861295,Poor
CUS_0x9be5,50.0,16558.12,3.0,2.0,7.57,15.43,125.17213466266207,251.22464381735296,1217.8433333333332,3.0,7.0,10.0,5.0,1.0,30.732188436741254,35.387554853318264,232.5,Media_Manager,Good,No,Low_spent_Small_value_payments,0.75,0,1,0,1,0,0,1,0,0,3,4.372733383242791,10.0,1.0,0.0009318690769241919,0.029057559281011735,Poor
CUS_0xa423,56.0,65586.32,4.0,7.0,0.86,1434.88,284.1116415245488,371.07682006221404,5202.5266666666685,1.0,3.0,12.0,8.0,4.0,32.61405654967403,120.06420507990389,383.0,Manager,Good,No,Low_spent_Small_value_payments,1.0,0,1,0,0,1,1,1,0,0,4,3.0610119406640184,8.0,4.0,0.021877733039450908,0.02307805663912737,Good
CUS_0xb0d3,26.0,44272.0,2.0,5.0,3.84,990.27,105.18080791108616,469.69919673511595,3798.333333333334,1.0,5.0,4.0,30.0,0.0,33.68517994660809,70.91882187143405,227.0,Scientist,Good,No,High_spent_Large_value_payments,0.625,0,1,0,0,0,0,1,0,0,2,4.659589420840514,32.0,0.0,0.022367862305746295,0.018671036912180965,Poor
CUS_0x9efc,27.0,33418.55,2.0,17.0,18.98,415.34,126.47806805432744,357.29211163948673,2739.879166666667,6.0,3.0,5.0,11.0,4.0,30.82621352671161,37.632329895843675,128.5,Accountant,Standard,Yes,High_spent_Medium_value_payments,1.0,0,0,0,0,0,0,1,0,1,2,4.045160523742335,11.0,7.0,0.012428426727072239,0.01373503268088538,Standard
CUS_0x73b1,24.0,34150.84,4.0,17.0,11.93,2089.71,122.07132638270883,361.4719260311714,2946.903333333333,10.0,10.0,29.0,46.0,7.0,29.781348976000995,67.97113360789109,113.5,Musician,Bad,Yes,High_spent_Large_value_payments,0.5,0,1,0,0,0,0,1,1,0,3,4.613054636733945,46.0,12.0,0.061190588577030615,0.023065274262324326,Poor
CUS_0x8b1f,52.5,58280.72,1.0,4.0,7.78,471.3,166.75614982900404,510.84230351090173,4760.7266666666665,5.0,7.0,12.0,2.0,4.0,32.853367724288645,37.4112176848889,379.5,Entrepreneur,Good,No,High_spent_Medium_value_payments,0.75,0,0,0,1,0,0,0,0,0,1,5.286784810102681,2.0,4.0,0.008086722332874404,0.007858299857211344,Standard
CUS_0xad4f,47.0,22620.79,0.0,18.0,5.31,642.46,123.48601840671637,318.720564926617,1722.065833333333,7.0,3.0,9.0,27.0,2.0,29.652603598955153,0.0,354.5,Developer,Standard,No,Low_spent_Small_value_payments,0.5,0,0,0,0,0,0,0,0,0,0,4.358210473638494,30.0,2.0,0.0284013069393244,0.0,Poor
CUS_0x5629,36.0,33465.57,2.0,2.0,4.62,531.91,208.6668473203532,330.9400850688511,2820.7975,0.0,5.0,10.0,7.0,1.0,36.915603224402695,40.22460348863007,370.5,Journalist,Good,No,Low_spent_Large_value_payments,1.0,0,0,1,0,0,0,0,0,1,2,4.926606228324635,12.0,1.0,0.015894245936943552,0.014260011038945572,Poor
CUS_0x50c4,27.0,14566.27,5.0,15.0,15.26,3402.82,59.783562923862476,280.090697699631,1201.8558333333333,6.0,9.0,31.0,22.0,11.0,31.642617359699372,50.31132270983993,28.5,Mechanic,Bad,Yes,Low_spent_Small_value_payments,1.0,1,1,0,1,0,0,1,0,0,4,4.446982926317329,22.0,11.0,0.2336095651117273,0.04186136249828073,Standard
CUS_0x663,37.5,22953.95,1.0,11.0,1.69,176.51,92.1142064956202,354.4704095727932,2180.8291666666664,7.0,6.0,13.0,18.0,5.0,35.072987227988875,12.162637525836177,286.5,Mechanic,Standard,No,High_spent_Small_value_payments,0.625,1,0,0,0,0,0,0,0,0,1,5.219962983188476,22.0,5.0,0.007689744030983774,0.005577070277552465,Poor
CUS_0x4a93,36.0,16645.16,1.0,20.0,5.83,896.57,49.35365213314456,332.31609886950696,1458.2399992630533,8.0,5.0,9.0,23.0,4.0,33.423891858053864,134.0588597825484,324.0,Musician,Standard,Yes,High_spent_Medium_value_payments,1.0,0,1,0,0,0,0,0,0,0,1,5.396699951448055,24.0,6.0,0.05386370572586866,0.09193195897129236,Standard
CUS_0x7879,53.0,91965.39,3.0,0.0,2.11,188.21,254.44534630836904,617.6954129868321,7877.7825,4.0,2.0,7.0,0.0,5.0,34.87130436576559,210.9546515462873,324.5,Doctor,Good,No,High_spent_Large_value_payments,0.875,1,0,0,1,0,0,0,0,0,2,5.550634139375569,5.0,5.0,0.002046530765541254,0.026778430547719143,Good
CUS_0xa47c,34.0,58248.33,5.0,22.0,18.38,1528.09,183.43785619329674,321.8746308828586,4722.0275,8.0,6.0,33.0,25.0,12.0,27.06196170963376,213.87653795674396,81.5,Developer,Bad,Yes,High_spent_Medium_value_payments,0.625,0,1,1,1,0,1,1,0,0,5,5.954009854708601,28.0,12.0,0.02623405683905444,0.04529336984097275,Poor
CUS_0x3468,29.5,32506.42,0.0,16.0,1.35,683.6,131.60332160512624,418.28351172820715,2948.8683333333333,7.0,7.0,7.0,13.0,3.0,28.795787603200097,0.0,228.5,Writer,Standard,Yes,High_spent_Medium_value_payments,1.0,0,0,0,0,0,0,0,0,0,0,4.589566001100042,14.0,3.0,0.02102969198084563,0.0,Standard
