Customer_ID,Age,Annual_Income,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Amount_invested_monthly,Monthly_Balance,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Num_Credit_Inquiries,Credit_Utilization_Ratio,Total_EMI_per_month,Credit_History_Age_Months,Occupation,Credit_Mix,Payment_of_Min_Amount,Payment_Behaviour,Credit_Score,_target_agreement,has_auto_loan,has_credit_builder_loan,has_debt_consolidation_loan,has_home_equity_loan,has_mortgage_loan,has_not_specified,has_payday_loan,has_personal_loan,has_student_loan,n_loan_types,Credit_Utilization_Ratio_std,Delay_from_due_date_max,Num_Credit_Inquiries_max,debt_to_income,debt_service_ratio
CUS_0x1075,38.0,24709.33,3.0,11.0,7.0,413.18,120.55873988527756,339.5319695545978,2009.7897755675112,5.0,5.0,6.0,27.0,1.0,32.29108835789752,119.7061038329337,211.0,Manager,Good,No,Low_spent_Small_value_payments,Poor,0.875,0,0,1,0,0,0,0,1,1,3,3.441687179552409,27.0,1.0,0.016721618918845632,0.05956150503309824
CUS_0x107c,14.0,49718.55,6.0,16.0,5.5,1920.25,128.69832086044138,302.266148494528,4179.2125,7.0,10.0,27.0,27.0,7.0,32.18593196004705,231.95678064503065,165.0,Journalist,Bad,Yes,High_spent_Medium_value_payments,Poor,0.75,1,0,0,1,1,0,1,0,0,4,3.068365023796801,28.0,7.0,0.03862240552067588,0.05550250929930715
CUS_0x107e,14.0,75095.91,6.0,10.0,15.530000000000001,989.71,288.86855451556437,285.1774235311813,6269.9925,5.0,6.0,15.0,9.0,8.0,32.476138345124944,261.8424087127099,140.5,Architect,Standard,Yes,High_spent_Large_value_payments,Standard,1.0,0,0,0,1,0,0,1,1,1,4,6.438279723600581,9.0,8.0,0.01317927967049071,0.04176119966853388
CUS_0x1087,51.0,42153.13,3.0,11.0,4.81,1027.64,162.9377739525478,389.3684733557701,3377.7608333333333,5.0,4.0,10.0,10.0,5.5,29.36829465361999,79.29961145958775,337.5,Doctor,Good,No,Low_spent_Small_value_payments,Standard,1.0,0,0,0,0,0,1,1,0,0,2,5.79746599141839,10.0,7.0,0.024378735339463525,0.02347697642681562
CUS_0x108a,38.0,36982.36,9.0,15.0,24.61,4882.12,184.20657751370675,171.30971376509075,2554.813823273585,7.0,9.0,21.0,15.0,15.0,32.56201227334133,454.41955211428353,89.5,Journalist,Bad,Yes,High_spent_Medium_value_payments,Standard,0.5,0,1,1,1,0,0,1,1,1,6,6.115711626680637,20.0,15.0,0.13201212686264477,0.17786797142502447
CUS_0x1096,43.0,12931.56,3.0,20.0,18.51,752.86,73.36829618409213,320.6162071377229,1348.63,4.0,4.0,9.0,19.0,3.0,27.053851302019908,20.579154708485927,252.0,Lawyer,Standard,Yes,Low_spent_Small_value_payments,Poor,0.625,0,0,1,1,0,1,0,0,0,3,5.241523581416476,21.0,3.0,0.05821880732100381,0.01525930367001025
CUS_0x1098,22.0,20652.98,2.0,13.0,15.58,1859.53,71.13751290564409,332.4322343990002,1468.081666666667,7.0,5.0,21.0,22.0,8.0,32.78687529680367,33.238356239959586,223.5,Musician,Standard,Yes,Low_spent_Medium_value_payments,Poor,0.75,1,0,0,0,0,0,1,0,0,2,4.539643395330107,24.0,8.0,0.09003688571818691,0.022640672514784882
CUS_0x109b,55.0,31641.93,3.0,12.0,9.37,583.6,95.03240706727658,355.1864880494753,2610.8275,4.0,6.0,7.0,25.0,1.0,32.36843661609872,60.336299265191144,241.5,Manager,Standard,No,High_spent_Medium_value_payments,Standard,0.75,0,0,0,0,0,0,0,1,1,2,6.0913497151566975,25.0,1.0,0.01844388126767236,0.023110029010032698
CUS_0x109d,45.0,49140.87,6.0,18.0,16.66,2950.8,177.2983088231583,363.88670660013145,4377.0725,10.0,6.0,27.0,35.0,11.0,28.791039367976655,154.17242632517255,75.0,Writer,Bad,Yes,High_spent_Small_value_payments,Standard,1.0,0,0,0,0,1,1,1,0,0,3,4.9188459669440805,40.0,11.0,0.06004777693191024,0.03522272622287443
CUS_0x109f,41.0,130435.86000000002,2.0,1.0,10.85,942.71,381.96830144420335,742.211065334285,10623.655,4.0,6.0,9.0,17.0,0.0,32.85105140856383,188.18613322151185,356.0,Teacher,Good,No,Low_spent_Medium_value_payments,Poor,0.625,0,0,0,1,0,0,0,0,0,1,4.820183390312332,17.0,0.0,0.007227383635144507,0.01771387843651849
CUS_0x10a9,41.0,17603.265,0.0,10.0,6.27,836.66,70.20814594927738,344.6978460952332,1427.93875,8.0,6.0,4.0,9.0,4.0,31.12378806268932,0.0,185.5,Journalist,Standard,No,Low_spent_Small_value_payments,Standard,0.75,0,0,0,0,0,0,0,0,0,0,5.229653944301627,11.0,4.0,0.04752868288922538,0.0
CUS_0x10aa,20.0,114432.03,0.0,9.5,11.98,444.51,196.76450278729115,978.6361717448266,9272.0025,1.0,2.0,7.0,9.0,4.0,37.35746241389195,0.0,255.0,Musician,Good,No,High_spent_Medium_value_payments,Good,0.625,0,0,0,0,0,0,0,0,0,0,4.038630303398684,12.0,4.0,0.003884489333974063,0.0
CUS_0x10ac,29.0,16718.645,4.0,11.0,11.45,853.41,64.01564846843553,288.8436305225657,1270.2204166666668,7.0,3.0,15.0,26.0,1.0,31.788390606340805,50.9619359000891,191.5,Developer,Standard,No,Low_spent_Large_value_payments,Good,0.625,0,1,1,1,0,0,0,0,0,3,3.654175562602444,31.0,1.0,0.05104540469637342,0.04012054540409943
CUS_0x10b3,48.0,136150.6,3.0,0.0,10.72,260.29,399.33684319743304,884.9739629763758,11127.883333333331,1.0,5.0,9.0,8.0,3.0,35.39675327957218,177.65407218247665,324.5,Mechanic,Good,No,High_spent_Large_value_payments,Good,1.0,1,0,0,0,0,0,0,0,1,2,4.293838264645005,11.0,3.0,0.0019117800435694003,0.01596476767961053
CUS_0x10b6,48.0,23627.63,3.0,12.0,1.23,277.93,69.72798568726424,317.2280259941978,1712.969166666667,7.0,3.0,19.0,6.0,1.0,34.509532100184764,37.99637812752503,216.5,Journalist,Standard,No,High_spent_Small_value_payments,Standard,1.0,0,1,1,0,0,0,1,0,0,3,5.614457557866935,6.0,1.0,0.011762923323244861,0.022181589060043416
CUS_0x10bb,35.0,60830.92,4.0,3.0,7.41,133.63,155.01834526615156,448.96077030311676,5044.243333333333,0.0,1.0,11.0,14.0,0.0,31.37398507695708,159.79934699914432,283.5,Journalist,Good,No,High_spent_Large_value_payments,Good,0.625,1,0,1,1,0,0,1,0,0,4,5.533876281898352,16.0,0.0,0.0021967446818164185,0.03167954764258881
CUS_0x10c0,38.5,49454.13,2.0,25.0,4.95,1388.56,217.2658663536832,429.5332115565353,4328.1775,8.0,5.0,23.0,59.0,8.0,32.07100787489502,73.34635944957465,156.5,Architect,Bad,Yes,High_spent_Medium_value_payments,Poor,0.875,1,0,0,0,0,0,1,0,0,2,1.9951570023074217,63.0,8.0,0.028077735873626733,0.016946245723419302
CUS_0x10c5,24.0,158623.16,1.0,5.0,6.04,1134.83,766.8129855405098,754.0588682740579,13180.596666666665,2.0,7.0,10.0,10.0,0.0,34.986083723683905,91.03390497961712,358.5,Entrepreneur,Good,No,Low_spent_Medium_value_payments,Standard,0.375,0,0,0,0,0,0,1,0,0,1,6.606703902389778,10.0,0.0,0.00715425162378558,0.006906660394960658
CUS_0x10d7,39.0,15968.14,9.0,19.5,17.26,4912.8,128.2663016601425,236.60187545840523,1380.678333333333,7.0,7.0,21.0,37.0,14.0,29.172642117374433,77.99711821646055,145.0,Developer,Bad,Yes,Low_spent_Small_value_payments,Poor,0.875,1,1,0,0,1,0,0,1,1,5,4.7974140443453885,42.0,14.0,0.30766263321839615,0.05649188252860773
CUS_0x10dd,25.0,105645.6,4.0,19.0,2.41,1336.91,271.4132324556681,614.4841981963464,9090.8,4.0,3.0,5.0,28.0,1.0,31.38889352956363,315.40610064414074,252.0,Teacher,Standard,No,High_spent_Small_value_payments,Standard,1.0,0,1,0,0,0,0,1,1,1,4,4.437643103903309,31.0,4.0,0.012654668060004393,0.03469508741190443
CUS_0x10df,27.0,9929.235,3.0,18.0,11.5,2328.08,51.26437637565112,279.7273099205967,828.4362500000002,4.0,8.0,23.0,13.0,14.0,31.685228942593362,18.120966441843297,82.5,Musician,Standard,Yes,High_spent_Small_value_payments,Poor,0.625,1,0,0,0,0,1,0,0,1,3,4.9575416415546645,18.0,14.0,0.23446720719169198,0.021873700531384634
CUS_0x10e2,37.0,43133.85000000001,7.0,24.0,6.41,2504.1,133.68033978534592,313.2811552391613,3432.487500000001,10.0,10.0,31.0,43.0,11.0,31.85004076249507,151.28725497549289,125.5,Media_Manager,Bad,Yes,Low_spent_Small_value_payments,Poor,0.75,1,1,0,1,0,1,0,1,0,5,5.8716619070755005,43.0,11.0,0.05805417323053702,0.044075107331197225
CUS_0x10e7,19.0,64933.76,4.0,19.0,19.04,2699.17,227.4869951507056,363.3781783041651,5368.1466666666665,3.0,3.0,33.0,15.0,6.0,30.270304552721708,193.69258208877812,168.5,Engineer,Standard,Yes,High_spent_Large_value_payments,Poor,0.875,1,0,1,1,1,0,0,0,0,4,4.881513560640552,20.0,11.0,0.04156805335160015,0.03608183496391892
CUS_0x10eb,50.5,28315.95,2.0,8.0,10.34,677.4,94.55265997079317,377.4667225579591,2415.6625,4.0,7.0,10.0,8.0,4.0,35.544275205540174,30.230996271640148,241.5,Journalist,Good,No,High_spent_Medium_value_payments,Good,0.75,0,0,0,0,0,0,1,0,1,2,5.351530305911324,8.0,4.0,0.023922912704677043,0.012514577790415735
CUS_0x10ee,30.0,12660.16,0.0,14.0,9.1,456.02,63.59668175463885,313.3937326830327,909.0133333333332,5.0,7.0,15.0,10.0,2.0,30.288220922809646,0.0,300.0,Journalist,Standard,No,Low_spent_Small_value_payments,Standard,0.75,0,0,0,0,0,0,0,0,0,0,6.607608921930873,15.0,2.0,0.036020081894699595,0.0
CUS_0x10f9,54.0,150131.68,0.0,0.0,11.49,1138.36,237.85344956113624,1261.8438837721974,12596.973333333332,5.0,1.0,4.0,8.0,0.0,40.348342602345454,0.0,379.5,Lawyer,Good,No,High_spent_Large_value_payments,Good,0.625,0,0,0,0,0,0,0,0,0,0,5.634748257030253,8.0,0.0,0.007582410321392527,0.0
CUS_0x10fd,29.0,39576.59,4.0,4.0,4.62,226.37,133.8808095733312,326.71326799977527,3199.049166666666,0.0,7.0,2.0,14.0,1.0,30.633748098519696,124.31083909356008,236.0,Developer,Good,No,High_spent_Large_value_payments,Poor,1.0,0,0,0,1,1,0,0,1,0,3,5.471691624187329,18.0,3.0,0.005719795464945313,0.03885868350785275
CUS_0x10ff,36.0,16341.075,2.0,19.5,11.63,684.05,151.95412763565508,247.3823025045635,1292.75625,4.0,4.0,6.0,8.0,2.0,33.31700188640299,16.960460461757126,202.5,Accountant,Standard,No,Low_spent_Small_value_payments,Standard,1.0,1,0,0,0,0,0,0,0,1,2,5.366966386145916,8.0,4.0,0.04186077109370099,0.013119612039591475
CUS_0x1100,21.5,43062.54,2.0,20.0,19.05,2169.75,72.51770239554875,490.7369788628389,3607.545,6.0,10.0,23.0,55.0,11.0,30.694317211189023,47.499818741612366,179.0,Accountant,Standard,Yes,High_spent_Medium_value_payments,Poor,1.0,0,0,0,0,1,0,0,0,1,2,4.960520589804973,55.0,13.0,0.050386019960736175,0.0131667986793269
CUS_0x1107,31.0,28952.76,8.0,25.0,2.46,2717.85,81.61493956896277,251.68928662379525,2338.73,7.0,9.0,21.0,39.5,13.5,34.31278732911449,155.77998901144184,10.5,Writer,Bad,Yes,Low_spent_Small_value_payments,Poor,0.75,0,1,1,0,0,1,0,1,0,4,4.22951269794889,41.0,16.0,0.09387187957210297,0.06660879580432194
CUS_0x1108,25.0,117499.47,0.0,8.0,8.32,337.9,352.81862215632,890.2436278436799,9780.6225,4.0,5.0,8.0,10.5,4.0,36.027737247322776,0.0,364.0,Accountant,Good,No,Low_spent_Medium_value_payments,Standard,0.75,0,0,0,0,0,0,0,0,0,0,5.469100778851592,15.0,4.0,0.0028757576523536655,0.0
CUS_0x1109,42.0,76284.72,6.0,12.0,11.69,1957.32,111.6829769664063,553.6963971547973,6451.06,6.0,10.0,18.0,24.0,11.0,29.627520699477266,222.95900228494304,238.5,Lawyer,Standard,Yes,High_spent_Large_value_payments,Poor,0.875,1,1,0,1,1,1,1,0,0,6,5.933482175720211,26.0,11.0,0.025658087229002084,0.0345616072839104
CUS_0x1119,36.0,56301.9,2.0,18.0,14.73,2161.23,175.16572782746175,489.09742408516627,4593.825,9.0,5.0,26.0,15.0,9.0,34.49136247121473,50.11934808737193,170.5,Entrepreneur,Standard,Yes,High_spent_Medium_value_payments,Poor,1.0,0,0,0,0,0,1,0,0,0,1,4.796894308549549,20.0,14.0,0.03838644876993494,0.010910156152524733
CUS_0x111b,40.0,70277.22,3.0,11.0,11.05,762.48,150.3549821504459,521.6239885743569,5633.435,3.0,6.0,7.0,5.0,7.0,35.935308545745386,149.93410641234473,243.0,Manager,Good,No,High_spent_Large_value_payments,Standard,0.5,0,0,0,1,0,1,0,0,0,2,3.7713661914015044,8.0,7.0,0.010849603897251484,0.026615041517714277
CUS_0x111c,24.0,71809.76,8.0,15.0,1.58,4439.92,204.4044735825978,369.4925090540628,6168.1466666666665,7.0,7.0,17.0,52.0,7.0,32.74546567090943,297.91768403000606,79.0,Journalist,Bad,Yes,High_spent_Large_value_payments,Poor,1.0,1,0,1,1,1,1,1,1,0,7,3.6732608092410555,54.0,7.0,0.06182892130540473,0.04829938393650487
CUS_0x1123,15.0,15264.98,3.0,15.0,9.68,2375.88,70.69888370750573,304.2870648871214,1266.0816666666667,6.0,5.0,34.0,26.0,13.0,28.203586937921152,36.79009671120451,102.5,Writer,Bad,Yes,Low_spent_Small_value_payments,Poor,0.625,1,1,0,1,0,0,0,0,0,3,6.364101777685888,30.0,14.0,0.15564252295122563,0.029058233508795123
CUS_0x112d,22.0,14728.21,5.0,11.0,9.27,2390.37,116.63484715507563,276.51659933358974,1480.3508333333332,10.0,9.0,31.0,48.0,6.0,28.88710663463005,41.585651279547974,199.5,Accountant,Standard,Yes,Low_spent_Small_value_payments,Poor,0.875,0,0,0,0,0,1,1,1,0,3,5.7622705263027685,49.0,7.0,0.16229874506134825,0.028091753889116135
CUS_0x112e,31.0,20162.26,4.0,10.0,1.71,660.26,114.19247297259284,281.7814786366365,1872.188333333333,8.0,4.0,11.0,13.0,2.0,31.86402008331715,66.24488172410403,234.0,Mechanic,Standard,No,Low_spent_Small_value_payments,Standard,1.0,1,0,0,1,0,0,0,1,0,3,5.856010931217857,15.0,2.0,0.03274732098484991,0.03538366335514894
CUS_0x112f,21.0,75506.42,1.0,3.0,3.44,1069.19,400.6646646038608,364.5301881746284,6050.201666666668,1.0,4.0,5.0,1.0,7.0,29.322476489369897,60.903643233171024,280.5,Mechanic,Good,No,Low_spent_Small_value_payments,Poor,0.5,1,0,0,0,0,0,0,0,0,1,6.21921947908689,1.0,7.0,0.014160252863266462,0.01006638234370221
CUS_0x1130,37.0,137798.88,0.0,14.0,9.25,1056.3,167.134157918273,1232.689842081727,10609.791908648782,6.0,5.0,13.0,23.0,2.0,35.67802698006254,988.4480913512176,326.0,Journalist,Standard,No,High_spent_Large_value_payments,Good,0.625,0,0,0,0,0,0,0,0,0,0,5.092333597823194,25.0,2.0,0.007665519487531393,0.09316375852248945
CUS_0x1132,39.0,46268.4,4.0,17.0,9.58,1447.57,215.32347388346992,366.11507134482974,3983.7,5.0,4.0,20.0,28.0,7.0,27.197583971151438,103.77805009014692,164.5,Mechanic,Standard,Yes,Low_spent_Large_value_payments,Poor,1.0,0,0,1,1,0,0,0,0,1,3,4.598103746864531,30.0,9.0,0.03128636391143847,0.02605066899870646
CUS_0x1134,48.0,15279.545,3.0,4.0,6.99,168.35,70.65252359390324,338.4429177214172,1517.7916271206154,0.0,5.0,8.0,1.0,4.0,30.204343697849996,76.53930322159488,367.5,Doctor,Good,No,Low_spent_Small_value_payments,Good,0.875,0,1,1,0,1,0,0,0,0,3,4.957837143890145,5.0,7.0,0.0110179982453666,0.050428070529547384
CUS_0x1135,22.0,83358.3,3.0,6.0,2.66,727.88,230.02114028300744,561.6768134005483,6896.5250000000015,5.0,3.0,5.0,6.0,7.0,32.00439123029676,169.93600478124742,366.0,Journalist,Good,No,Low_spent_Medium_value_payments,Good,0.875,1,0,0,0,0,1,0,0,0,2,5.522644176407505,6.0,7.0,0.008731943909604682,0.024640816176443554
